time/total_timesteps,rollout/exploration rate,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/episodes,time/fps,train/loss,rollout/ep_rew_mean,time/time_elapsed
5197339,0.05,1299209,5e-05,132.57,157000,816,39.08848571777344,61.211071950000004,6364
5322455,0.05,1330488,5e-05,109.64,158000,815,23.11956214904785,49.684903999999996,6524
5449227,0.05,1362181,5e-05,112.52,159000,814,20.74716567993164,51.72654175,6686
5578574,0.05,1394518,5e-05,130.58,160000,814,44.11661148071289,61.263710950000004,6851
5706190,0.05,1426422,5e-05,115.6,161000,813,24.619667053222656,52.12056723,7015
5828772,0.05,1457067,5e-05,122.15,162000,812,18.29894256591797,56.82946382,7172
5957399,0.05,1489224,5e-05,123.34,163000,811,11.90014362335205,57.64991822000001,7337
6084075,0.05,1520893,5e-05,132.96,164000,811,17.994108200073242,61.555127250000005,7499
6212914,0.05,1553103,5e-05,131.77,165000,810,15.213554382324219,58.640711740000015,7664
6346121,0.05,1586405,5e-05,115.64,166000,810,19.42115592956543,54.712145680000006,7834
6473641,0.05,1618285,5e-05,133.67,167000,809,17.37989044189453,62.69817653999999,7996
6605928,0.05,1651356,5e-05,136.89,168000,808,22.62849998474121,63.56269619000002,8166
6735751,0.05,1683812,5e-05,131.51,169000,808,32.38904571533203,59.95798456999999,8332
6864330,0.05,1715957,5e-05,123.9,170000,807,37.05036163330078,58.09234527,8497
6991852,0.05,1747837,5e-05,122.48,171000,807,15.978212356567383,57.33867727,8661
7122578,0.05,1780519,5e-05,130.88,172000,806,17.247196197509766,60.9728533,8828
7253940,0.05,1813359,5e-05,126.4,173000,806,25.83933448791504,56.871474770000006,8995
7379969,0.05,1844867,5e-05,126.92,174000,805,18.546300888061523,59.388450129999995,9156
7509836,0.05,1877333,5e-05,127.29,175000,805,23.286840438842773,59.65162273,9323
7639762,0.05,1909815,5e-05,135.18,176000,805,19.55726432800293,64.07833946,9489
7769989,0.05,1942372,5e-05,119.49,177000,804,21.024993896484375,56.88329648999999,9655
7892912,0.05,1973102,5e-05,112.19,178000,804,30.025524139404297,53.215597329999994,9812
8019740,0.05,2004809,5e-05,138.4,179000,803,18.32032585144043,63.05841144,9975
8150231,0.05,2037432,5e-05,141.02,180000,803,14.801236152648926,65.6419382,10141
8281385,0.05,2070221,5e-05,127.64,181000,803,28.253583908081055,60.30939914000001,10309
8412298,0.05,2102949,5e-05,139.55,182000,802,19.39653205871582,65.26473033,10476
8541417,0.05,2135229,5e-05,118.78,183000,802,22.925859451293945,55.05316086000002,10642
8661996,0.05,2165373,5e-05,123.53,184000,802,41.57206344604492,56.71212307,10796
8786969,0.05,2196617,5e-05,125.33,185000,801,22.529788970947266,57.336147409999995,10956
8916144,0.05,2228910,5e-05,136.92,186000,801,18.57545280456543,64.24829842,11121
9047741,0.05,2261810,5e-05,144.64,187000,801,24.07868766784668,67.60753196,11291
9170285,0.05,2292446,5e-05,104.15,188000,801,15.022480010986328,49.495013230000005,11447
9300161,0.05,2324915,5e-05,130.71,189000,800,16.191728591918945,62.33730478,11614
9426948,0.05,2356611,5e-05,136.65,190000,800,18.533720016479492,63.379978799999996,11776
9559959,0.05,2389864,5e-05,131.91,191000,800,18.149532318115234,61.61017174,11947
9686687,0.05,2421546,5e-05,149.04,192000,799,24.069067001342773,68.74824320000002,12109
9809779,0.05,2452319,5e-05,129.6,193000,799,21.93628692626953,59.65555125,12265
9932974,0.05,2483118,5e-05,122.76,194000,799,13.757761001586914,57.55141233000001,12424
